filename,Title,Top Topic
0_9.txt,bromwell high cartoon comedy ran time programs school life teachers 35 years teaching profession lead believe bromwell high satire much closer reality teachers scramble survive financially insightful students see right pathetic teachers pomp pettiness whole situation remind schools knew students saw episode student repeatedly tried burn school immediately recalled high classic line inspector sack one teachers student welcome bromwell high expect many adults age think bromwell high far fetched pity,6
100_7.txt,scott bartlett offon nine minutes pure craziness full frontal assault psychedelic pulsating epilepsy inducing flashing lights colours first true merging film video avante garde cinema story speak bartlett uses images nature â particularly human face form â provoke sequence emotional reactions integrating biological phenomena highly industrial form modern technology sense film represents merging humanity tools machinery technology theme connects loosely subplot hal9000 stanley kubrick 2001 space odyssey 1968 indeed bartlett opening sequence images â flashing colours close human eye â recalls dave bowman journey stargate visuals richly coloured confronting blend sharp vivid photography increasingly grainy video though sitting close television screen matter fact end product recorded tv monitor appears confusion film release date imdb lists film 1972 release national film registry national film preservation foundation give 1968 correct year perhaps disparity reflects time film completion first public screening either way visuals distinctly ahead time occasionally reminiscent 1980s music video brisk techno music gone amiss either offon captures grainy fragmented images presenting life warped perspective computer processing much information thought â please laugh free thinking interpretation â extraterrestrial civilisation capturing earth television signals might well receive disjointed alien documentation human life bizarre montage vaguely familiar imagery possibly make coherent sense perhaps mankind technology eventually heading towards irreversible merging film video purity artificiality,2
101_8.txt,imdb lists 1972 reason sources seen including excellent program notes mark 68 really matter except quite interesting watch abstract collage film video one first art works merge two apparently context star gate sequence 2001 released year pure abstraction really thing take small doses super saturated optically printed colors psychedelic feel series flowers rohrschach blots birds etc pretty compelling quite beautiful certainly helped paved way many nascent video artists 70s deserves better known,8
102_10.txt,first heard film 20 years ago kid grade school happened thumbing encyclopedias classroom one day entry movies cinema remember several stills different movies mainstream experimental one shown page still offon really intrigued since stood page still film scene eye elements superimposed 18 years later public library live available checkout whole 4 dvd set treasures american film archives released national film preservation foundation reading notes dvd cases set quite pleasantly surprised see offon one discs years could finally see film viewing slightly expecting tended organic looking film bad thing expecting electronic aesthetic still impressive film imho considering techniques scott bartlett used make film including hand tinting film using video equipment film scenes filmed video monitor giving distressed lo res look get wrong techniques used film quite ground breaking 1972 still one favorite short experimental films creative inspiration well,8
103_7.txt,read comment decided watch movie first cast specially michael madsen tamer karadagli good enough film intelligence interesting cast lot international specially european actor actress like turkey russsia second story basic guess interesting action good play like opinion third final chapter special interesting regular like action movies finally recommend watch movie hope love enjoy,8
104_10.txt,movie interesting cast mat list cast actors film good job im glad b grade movies like one story basic actors basic way execute need million dollar budget make film mix b list ordinary actors basic plot like way street one else around also though interesting close cafã set gear police station arnold vosloo michael madsen great job portraying roles hostage situation great film hope see like near future,8
105_7.txt,gotta start ed furlong one gotta god bless kid 5 bucks says character plays film really like real life one liner two made almost blow snot subtle humor script know trials guy gone recent years even seem like furlong even acting maybe performance good madsen keep thinking bet guy really like real life madsen even act natural vosloo obviously moved type casted mummy guy think biggest surprise film jordana spiro performance reactions spot film battled hot realized would like see big fan shoot em hostage type films fan films lots twists turns try keep guessing standard robbers take bank kill hostages good guys win end type film twists keep coming coming cafã scenes work best hand held cams show really like glossed bit think like bourne ultimatum lite style scenes cafã bo bice fanatics actor curtis wayne plays karl make double take guys twins watched wondered actors foreign accents small town made sense end people smuggled stuff countries states might accents revealed bonus features producers wanted make film international audiences stars might heard smoking hot moncia dean need say,8
106_10.txt,first von trier movie ever seen breaking waves sure nice movie definitely stands shadow europa europa tells story young german american wants experience germany second world war takes job uncle arranged purser luxues train job travels almost totally destroyed germany meeting killing traitors hunt former nazi party members society suffering corruption uncle narrowed conciousness focussing job also purser train coincidence main character get involved bombing terrorism group called werewolves put pressure help placing bombs trains atmosphere astounding viewer taken scene scene man attempting put viewer hypnosis counting wake new scene think seen lot europe,7
107_10.txt,lars von triers europa extremely good film von trier stylized way tell story least europa whole film like experience even see small television screen even tricks opinion film complete real moving piece cinema films top 250 list also think perhaps scariest gothic complete film around right good ones one favorite final scene one harrowing scenes ever,8
108_10.txt,europa also known zentropa one visually stunning films ever seen blend grayscale colour photography near seamless true feast eyes picture contender 1991 golden palm canners award went barton fink coen brothers film stylistically similar zentropa exercise class rent films judge,2
109_10.txt,movie believe cinema seventh art entertainment business lars von trier creates noir atmosphere post war germany utterly captivating get absorbed dream let go end credits plot necessarily comes second still thrilling story tough issues raised wonderful,7
10_9.txt,male given women movies really well done special story personal love jane fonda person one hell fine job deniro usual superb self everything well done acting directing visuals settings photography casting enjoy story real people real love winner,8
110_10.txt,definite lars von trier movie favorite rank higher breaking waves latest dancer dark simply love beauty picture framing original acting wonderful must see,7
111_10.txt,dogma 95 lars used movies art story beautiful painting love death one favorite movies time color music perfect,7
112_10.txt,europa zentropa masterpiece gives viewer excitement must come birth narrative film nearly century ago film truly unique work genius camerawork editing brilliant combined narrative tropes alienation used film creates eerie unforgettable cinematic experience participation barbara suwkowa eddie constantine cast two guilty pleasures seen enjoyed max von sydow provides great voice narrator one kind movie four stars highest rating,2
113_10.txt,seen movie 5 years still haunts asked favorite films one seem always mention first certain films works art like film dark city breaking waves seem touch place within place protected hidden yet sensitive make lifelong impression viewer unlike life changing event ending serious relationship death friend film shook first saw left emotional hangover lasted several days,8
114_10.txt,much movie good nothing say said already wanted point fact movie isnt sweden denemark maybe wrong case happy know mistakes take notify,8
115_10.txt,piece subtle art maybe masterpiece doubtlessly special story ambiguity existence tale kafka style impossibility victory surviving perpetual strange world life film exercise adaptation lesson limits original sin frailty innocence error ways leopold kessle another joseph k images trial ambiguous woman europa symbol basic crisis many aspects like chimeric wars unavailing search truth essence golden age methaphor parable movie history disappointed evolution war peace business lie details gelatin time hypocrisy mask love convention sacrifice method hope understanding painful reality,2
116_10.txt,man oh man foolishly procrastinating right term long list watch film finally chance news marvellous labyrinthine spectacle von trier follower rigets element crime dogville dancer dark five obstructions etc europa probably differential greatness visual terms everything beautifully somber claustrophobic really get feeling inside imaginary nightmarish time warp taking masters surreal cinema like bunuel bergman till noir films 40 acidic drops avant guard von trier leads art film scene well intended totalitarian movie maker nowadays authoritarian way dealing intricate issues without irrational hits nerve viewer intent cure deepest wounds feed hypocritical world utopian seems believe people like von trier could help society many ways broader aspect day films filmmakers carry sort power longer necessary tool reflection perhaps could start new era age emotional control fears offers us constantly work bravo,2
117_10.txt,lars von trier europa worthy echo third man american coming post world war ii europe finds entangled dangerous mystery jean marc barr plays leopold kessler german american refused join us army war arrives frankfurt soon war work uncle sleeping car conductor zentropa railway know war still secretly going underground terrorist group called werewolves target american allies leopold strongly taking sides drawn seduced katharina hartmann barbara sukowa femme fatale daughter owner railway company father nazi sympathizer pardoned american colonel harris eddie considine help get german transportation system running colonel soon enlists forces leopold spy without giving choice chance think see werewolves might carry attacks trains soon leopold stuck adventure involved sides conflict mysterious film noir ish way everyone everything seems amazing watch naive leopold deal everything lover terrorists colonel annoying passengers disgruntled uncle even railway company officials come examine work ethic finally boils humorously violently takes control film endlessly unpredictable film stylishly shot always takes place night winter lots falling snow shot black white shots color randomly appearing throughout also background screens displaying images counter act images front add max von sydow hypnotic narration europa becomes dreamlike place world personal favorite film mine,7
118_8.txt,released zentropa north america avoid confusion agniezska holland holocaust film europa europa third theatrical feature filmmaker never ceases surprise inspire downright shock bizarre nostalgic elaborate film naive american germany shortly following end wwii american named leo fully get come take part fixing country since mind time germany shown charity matter sounds nazi sympathizer much especially pro german merely mixed uncle works railroad gets leo job helmsman sleeping car increasingly enmeshed vortex 1945 germany horrors enigmas progression starts leo played rather memorably calm yet restless actor jean marc barr meets sultry heiress train played barbara sukowa actress gentility surface internal vigor seduces takes home meet family owns company manufactures trains precise trains took jews deaths war run drab day day timetable woman uncle kessler postures another one good germans jobs also udo kier tremendous actor blew away von trier shocking second film epidemic though mere scenery another guest house eddie constantine actor quiet strength playing somber american intelligence man confirm uncle kessler war criminal though completely baffling leo americans characterized gullible rubes element decades little blithely unconcerned leo goes back job gradually looks like customized death train story told purposely uncoordinated manner film danish director lars von trier whose anchor film breathtaking editing cinematography shoots black white color uses double exposures optical effects trick photography actors interact rear projected footage places characters inside richly shaded visceral world sometimes feel like insects caught glass precise survey grand jury prize winning surrealist work allegorical maybe distinct tone every viewer interpret film last legs nazism symbolized train ethical accountability americans others appeared late salvage martyrs trains camps distributed condemned shiploads time frame movie nazi state significance train dead like decapitated chickens persist jolting reflexes characters music dialogue plot deliberately hammy almost satirically procured film noir conventions entrancing points movie entirely cinematographic ones two trains halting back forth barr one sukowa another underwater shot proliferating blood uncommonly expressive sequence must like drown metaphysically affecting anesthetic shot train tracks max von sydow voice allures us hark back europe abandon personal restraint,7
119_10.txt,best way describe europa high list favourite films exclamation came companion film ended know films could made like entirely original visual style one best examples cinema far away master coverage style shooting one get perfectly integrating many layers image sound effects props dialogue voice performance editing lighting etc equal none predominant despite hollywood dialogue myopia cinema dialogue beautiful lighting action music works best elements equal footing blending elements order combination presented communicate idea reduce eliminate contribution one element film meaning europa cinema strive,2
11_9.txt,liked stanley iris much acting good story unique interesting arrangement absence violence porno sex refreshing characters convincing felt like could understand feelings enjoyable movie,8
